key,en,gr,es
str_023,"Discover yourself as a young leader — leadership, emotional intelligence, self-confidence.","Ανακάλυψε τον εαυτό σου ως εκπρόσωπο των νέων — ηγεσία, συναισθηματική νοημοσύνη, αυτοπεποίθηση.","Descúbrete a ti mismo como una persona joven con liderazgo: liderazgo, inteligencia emocional, confianza en uno mismo."
str_024,"Intercultural communication, co-creation, empathy, delegation and team building.","Διαπολιτισμική επικοινωνία, συνδημιουργία, ενσυναίσθηση, ανάθεση αρμοδιοτήτων και οικοδόμηση ομάδας.","Comunicación intercultural, cocreación, empatía, delegación y trabajo en equipo."
str_025,"Sense of belonging, needs analysis, SIP lifecycle and the importance of scale.","Αίσθημα του ανήκειν, ανάλυση αναγκών, κύκλος ζωής SIP και η σημασία της κλίμακας.","Sentido de pertenencia, análisis de necesidades, el ciclo de vida del SIP y la importancia de la escalabilidad"
str_026,"Activities, rights & duties, participation agreement and additional resources.","Δραστηριότητες, δικαιώματα και καθήκοντα, συμφωνία συμμετοχής και πρόσθετοι πόροι.","Actividades, derechos y deberes, acuerdo de participación y recursos adicionales."
str_027,Core Concepts,Βασικές Έννοιες,Conceptos Fundamentales
str_028,What you need to know,Τι πρέπει να γνωρίζετε,Lo que necesitas saber
str_029,before you begin,πριν ξεκινήσετε,Antes de empezar
str_030,"Who is a ""changemaker""?",Ποιος είναι ο «δημιουργός αλλαγής»;,"¿Quién es un ""agente de cambio""?"
str_031,"A changemaker is anyone who takes initiative to deal with a problem, causing a positive change. You don't need to be famous or have significant resources — young people are true agents of change, everywhere: in schools, neighbourhoods, youth groups and associations.","Ένας δημιουργός αλλαγής είναι όποιος αναλαμβάνει πρωτοβουλία για να αντιμετωπίσει ένα πρόβλημα, προκαλώντας μια θετική αλλαγή. Δεν χρειάζεται να είσαι διάσημος ή να έχεις σημαντικούς πόρους — οι νέοι είναι πραγματικοί φορείς αλλαγής, παντού: σε σχολεία, γειτονιές, ομάδες νέων και ενώσεις.","Una persona es un agente de cambio porque toma la iniciativa para abordar un problema y generar un impacto positivo. No hace falta ser famosa ni contar con grandes recursos: las personas jóvenes son verdaderas impulsoras del cambio en todas partes—en escuelas, barrios, grupos juveniles y asociaciones."
str_032,"What does ""change"" mean?",Τι σημαίνει «αλλαγή»;,"¿Qué significa ""cambiar""?"
str_033,"Change is a process through which something becomes different, and develops. From the identification of a social problem that affects a community, through planning and implementation of a SIP, young people can make a difference — creating a positive transformation in their own community!","Η αλλαγή είναι μια διαδικασία μέσω της οποίας κάτι γίνεται διαφορετικό και αναπτύσσεται. Από τον εντοπισμό ενός κοινωνικού προβλήματος που επηρεάζει μια κοινότητα, μέσω του σχεδιασμού και της εφαρμογής ενός Κοινωνικού Προγράμματος Ανάπτυξης (ΣΠΠ), οι νέοι μπορούν να κάνουν τη διαφορά — δημιουργώντας έναν θετικό μετασχηματισμό στην κοινότητά τους!","El cambio es un proceso a través del cual algo se vuelve diferente y se desarrolla. Desde la identificación de un problema social que afecta a una comunidad, pasando por la planificación e implementación de un SIP, los jóvenes pueden marcar la diferencia — ¡creando una transformación positiva en su propia comunidad!"
str_034,What is a Social Impact Project (SIP)?,Τι είναι ένα Έργο Κοινωνικού Αντίκτυπου (SIP);,¿Qué es un Proyecto de Impacto Social (SIP)?
str_035,"A Social Impact Project (SIP) is an educational process with structured learning outcomes, co-produced with youth workers and young people. It is designed to solve a concrete community problem, creating lasting positive value. It has clear objectives, involves the community in its design, and is both sustainable and measurable. Your SIP can be born from a simple observation — a moment when you noticed injustice, exclusion, or hate, and decided to do something about it.","Ένα Έργο Κοινωνικού Αντίκτυπου (SIP) είναι μια εκπαιδευτική διαδικασία με δομημένα μαθησιακά αποτελέσματα, που παράγεται από κοινού με λειτουργούς νεολαίας και νέους. Έχει σχεδιαστεί για να λύσει ένα συγκεκριμένο πρόβλημα της κοινότητας, δημιουργώντας διαρκή θετική αξία. Έχει σαφείς στόχους, εμπλέκει την κοινότητα στο σχεδιασμό του και είναι βιώσιμο και μετρήσιμο. Το SIP σας μπορεί να προκύψει από μια απλή παρατήρηση — μια στιγμή που παρατηρήσατε αδικία, αποκλεισμό ή μίσος και αποφασίσατε να κάνετε κάτι γι' αυτό.","Un Proyecto de Impacto Social (SIP) es un proceso educativo con resultados de aprendizaje estructurados, coproducido por personas trabajadoras juveniles y jóvenes. Está diseñado para abordar un problema concreto de la comunidad, generando un valor positivo y duradero. Cuenta con objetivos claros, implica a la comunidad en su diseño y es tanto sostenible como medible.

Tu SIP puede surgir de una simple observación: un momento en el que detectaste injusticia, exclusión u odio, y decidiste actuar para transformarlo."
str_036,Active participation of young people,Ενεργός συμμετοχή των νέων,Participación activa de las personas jóvenes
str_037,"Active youth participation means not being merely a spectator of society, but an agent of change. It involves making decisions, taking on responsibilities, collaborating with others, and continuously learning. It is both a right and a duty of every young citizen.","Η ενεργός συμμετοχή των νέων σημαίνει ότι δεν είναι απλώς θεατής της κοινωνίας, αλλά φορέας αλλαγής. Περιλαμβάνει τη λήψη αποφάσεων, την ανάληψη ευθυνών, τη συνεργασία με άλλους και τη συνεχή μάθηση. Είναι δικαίωμα και καθήκον κάθε νέου πολίτη.","La participación activa de los jóvenes significa no ser simplemente un espectador de la sociedad, sino un agente de cambio. Implica tomar decisiones, asumir responsabilidades, colaborar con otros y aprender continuamente. Es tanto un derecho como un deber de todo joven ciudadano."
str_038,Young Changemakers in Action,Νέοι Πρωτοπόροι Αλλαγής σε Δράση,Jóvenes agentes de cambio en acción
str_039,They started just,Ξεκίνησαν απλά,Empezaron simplemente
str_040,like you,σαν εσένα,Como tú
str_041,Every changemaker begins with a wish for something to be different. Here are four young leaders sharing what drives them.,Κάθε άνθρωπος που φέρνει αλλαγές ξεκινά με την επιθυμία να είναι κάτι διαφορετικό. Εδώ είναι τέσσερις νέοι ηγέτες που μοιράζονται τι τους ωθεί.,Todo agente de cambio comienza con el deseo de que algo sea diferente. Aquí tienes cuatro jóvenes líderes que comparten lo que les motiva.
str_042,Alberto,Αλμπέρτο,Alberto
str_043,University Engagement,Πανεπιστημιακή Συμμετοχή,Compromiso universitario
str_044,I want students to take university associations more seriously. It's hard because students tend to prioritise exams over everything else — but collective action needs all of us.,Θέλω οι φοιτητές να λάβουν πιο σοβαρά υπόψη τις πανεπιστημιακές ενώσεις. Είναι δύσκολο επειδή οι φοιτητές τείνουν να δίνουν προτεραιότητα στις εξετάσεις έναντι οτιδήποτε άλλο — αλλά η συλλογική δράση μας χρειάζεται όλους.,Quiero que los estudiantes se tomen más en serio las asociaciones universitarias. Es difícil porque los estudiantes tienden a priorizar los exámenes por encima de todo — pero la acción colectiva nos necesita a todos.
str_045,🏛️,🏛️,🏛️
str_046,Saurelle,Saurelle,Saurelle
str_047,Education Advocate,Συνήγορος της Εκπαίδευσης,Defensor de la educación
str_048,I wish young people had more power to influence the education sector. Our voices matter — and we deserve a real seat at the table when decisions are made about our futures.,Μακάρι οι νέοι να είχαν μεγαλύτερη δύναμη να επηρεάσουν τον τομέα της εκπαίδευσης. Οι φωνές μας μετράνε — και μας αξίζει μια πραγματική θέση στο τραπέζι όταν λαμβάνονται αποφάσεις για το μέλλον μας.,Ojalá los jóvenes tuvieran más poder para influir en el sector educativo. Nuestras voces importan — y merecemos un verdadero lugar en la mesa cuando se tomen decisiones sobre nuestro futuro.
str_049,Tereza,Tereza,Tereza
str_050,Volunteering Champion,Εθελοντής,Campeón de voluntariado
str_051,"I want more young people involved in volunteering — with homeless people, migrants, the elderly. We need to start promoting this in schools, so more of us discover what we can give.","Θέλω περισσότεροι νέοι να συμμετέχουν στον εθελοντισμό — με άστεγους, μετανάστες, ηλικιωμένους. Πρέπει να αρχίσουμε να το προωθούμε αυτό στα σχολεία, ώστε περισσότεροι από εμάς να ανακαλύψουμε τι μπορούμε να προσφέρουμε.","Quiero que más jóvenes participen en el voluntariado — con personas sin hogar, migrantes, personas mayores. Tenemos que empezar a promover esto en las escuelas, para que más de nosotros descubramos lo que podemos dar."
str_052,Adrián,Adrián,Adrián
str_053,Youth Policy Voice,Φωνή Νεολαίας,Voz de Política Juvenil
str_054,I want to influence the decision-makers who shape regional and local youth activities. Young people need to be involved in planning — not just invited to participate in what adults have already decided.,"Θέλω να επηρεάσω τους υπεύθυνους λήψης αποφάσεων που διαμορφώνουν τις περιφερειακές και τοπικές δραστηριότητες των νέων. Οι νέοι πρέπει να συμμετέχουν στον σχεδιασμό — όχι απλώς να προσκαλούνται να συμμετάσχουν σε ό,τι έχουν ήδη αποφασίσει οι ενήλικες.","Quiero influir en los responsables de la toma de decisiones que moldean las actividades juveniles regionales y locales. Los jóvenes deben participar en la planificación, no solo ser invitados a participar en lo que los adultos ya han decidido."
str_055,Step 02 — Discover Yourself,Βήμα 02 — Ανακάλυψε τον εαυτό σου,Paso 02 — Descúbrete a ti mismo
str_056,ME as a,ΕΓΩ σαν ,Yo como
str_057,young leader,Ηγέτης Νέων,Joven líder
str_058,Youth leadership starts with you.,Η ηγεσία των νέων ξεκινά από εσάς.,El liderazgo juvenil empieza contigo.
str_059,to learn more.,για να μάθεις περισσότερα,para saber más.
str_060,Hover each competency,Τοποθετήστε τον δείκτη του ποντικιού σε κάθε ικανότητα,Pasa el cursor por cada competencia
str_061,Core competencies,Βασικές ικανότητες,Competencias básicas
str_062,Emotional intelligence,Συναισθηματική νοημοσύνη,Inteligencia emocional
str_063,Recognise your feelings and understand how they influence your thoughts and behaviours. Self-control is a key part of a leadership attitude.,Αναγνωρίστε τα συναισθήματά σας και κατανοήστε πώς επηρεάζουν τις σκέψεις και τις συμπεριφορές σας. Ο αυτοέλεγχος είναι βασικό μέρος μιας ηγετικής στάσης.,Reconoce tus sentimientos y entiende cómo influyen en tus pensamientos y comportamientos. El autocontrol es una parte clave de una actitud de liderazgo.
str_064,Active listening,Ενεργητική ακρόαση,Escucha activa
str_065,Listening is not just gathering information — it makes others feel important because their opinions are being valued. Truly hearing someone builds trust.,Το να ακούς δεν είναι απλώς η συλλογή πληροφοριών — κάνεις τους άλλους να νιώθουν σημαντικοί επειδή οι απόψεις τους εκτιμώνται. Το να ακούς πραγματικά κάποιον χτίζει εμπιστοσύνη.,Escuchar no es solo recopilar información: hace que los demás se sientan importantes porque valoran sus opiniones. Escuchar de verdad a alguien genera confianza.
str_066,Self-confidence,Αυτοπεποίθηση,Autoconfianza
str_067,"Cultivate a positive view of yourself. Identify your strengths and areas to improve without judgement, and set realistic expectations for yourself.",Καλλιεργήστε μια θετική άποψη για τον εαυτό σας. Προσδιορίστε τα δυνατά σας σημεία και τους τομείς που θέλετε να βελτιώσετε χωρίς να κρίνετε και θέστε ρεαλιστικές προσδοκίες για τον εαυτό σας.,"Cultiva una visión positiva de ti mismo. Identifica tus fortalezas y áreas que debes mejorar sin juzgar, y establece expectativas realistas para ti mismo."
str_068,Persistence,Επιμονή,Persistencia
str_069,"Be patient and determined. Don't rush, and never give up — social change rarely happens overnight, and persistence is what keeps a project alive.",Να είστε υπομονετικοί και αποφασιστικοί. Μην βιάζεστε και μην τα παρατάτε ποτέ — η κοινωνική αλλαγή σπάνια συμβαίνει από τη μια μέρα στην άλλη και η επιμονή είναι αυτό που κρατάει ένα έργο ζωντανό.,"Sé paciente y decidido. No te precipites y nunca te rindas: el cambio social rara vez ocurre de la noche a la mañana, y la persistencia es lo que mantiene vivo un proyecto."
str_070,Motivation,Κίνητρο,Motivación
str_071,"Identify your interests, passions, vocation and capacities. Motivation helps you discover your potential and sustains you through difficult moments.","Προσδιορίστε τα ενδιαφέροντα, τα πάθη, το επάγγελμά σας και τις ικανότητές σας. Το κίνητρο σας βοηθά να ανακαλύψετε τις δυνατότητές σας και σας στηρίζει σε δύσκολες στιγμές.","Identifica tus intereses, pasiones, vocación y capacidades. La motivación te ayuda a descubrir tu potencial y te sostiene en los momentos difíciles."
str_072,Resilience,Ελαστικότητα,Resiliencia
str_073,"Overcome obstacles and errors. Develop the capacity to learn from them — look at situations more positively, seek help, and focus on what you can control.","Ξεπεράστε τα εμπόδια και τα λάθη. Αναπτύξτε την ικανότητα να μαθαίνετε από αυτά — δείτε τις καταστάσεις πιο θετικά, ζητήστε βοήθεια και επικεντρωθείτε σε αυτά που μπορείτε να ελέγξετε.","Supera obstáculos y errores. Desarrolla la capacidad de aprender de ellos — mira las situaciones de forma más positiva, busca ayuda y céntrate en lo que puedes controlar."
str_074,Proactivity,Προνοητικότητα,Proactividad
str_075,"Be active in proposing ideas, encouraging others to act, and striving to become a role model. Proactive leaders make things happen without waiting to be asked.","Να είστε ενεργοί στην πρόταση ιδεών, στην ενθάρρυνση άλλων να δράσουν και στην προσπάθεια να γίνετε πρότυπο. Οι προνοητικοί ηγέτες κάνουν τα πράγματα να συμβούν χωρίς να περιμένουν να τους ζητηθεί.","Sé activo proponiendo ideas, animando a otros a actuar y esforzándote por convertirte en un modelo a seguir. Los líderes proactivos hacen que las cosas sucedan sin esperar a que se les pidan."
str_076,Organisation,Οργάνωση,Organización
str_077,Carefully plan your actions to achieve your objectives. Be punctual and prioritise tasks by importance and urgency.,Σχεδιάστε προσεκτικά τις ενέργειές σας για να επιτύχετε τους στόχους σας. Να είστε συνεπείς και να ιεραρχείτε τις εργασίες με βάση τη σημασία και τον επείγοντα χαρακτήρα τους.,Planifica cuidadosamente tus acciones para alcanzar tus objetivos. Sé puntual y prioriza las tareas según la importancia y la urgencia.
str_078,Critical thinking,Κριτική σκέψη,Pensamiento crítico
str_079,"Make decisions in a balanced way based on objective arguments and various sources of information, considering different viewpoints before acting.","Λάβετε αποφάσεις με ισορροπημένο τρόπο, βασιζόμενοι σε αντικειμενικά επιχειρήματα και διάφορες πηγές πληροφοριών, λαμβάνοντας υπόψη διαφορετικές απόψεις πριν ενεργήσετε.","Toma decisiones de manera equilibrada basándose en argumentos objetivos y diversas fuentes de información, considerando diferentes puntos de vista antes de actuar."
str_080,Flexibility,Ευκαμψία,Flexibilidad
str_081,Prepare to adapt to different situations with unexpected issues. Don't fear changing plans — flexible leaders find creative solutions rather than getting stuck.,Προετοιμαστείτε να προσαρμοστείτε σε διαφορετικές καταστάσεις με απροσδόκητα προβλήματα. Μην φοβάστε να αλλάξετε σχέδια — οι ευέλικτοι ηγέτες βρίσκουν δημιουργικές λύσεις αντί να κολλάνε.,Prepárate para adaptarte a diferentes situaciones con problemas inesperados. No temas cambiar de planes — los líderes flexibles encuentran soluciones creativas en lugar de quedarse atascados.
str_082,"""Storytelling creates trust, increases interest and engages your audience so they can understand and share your vision and objectives.""","«Η αφήγηση δημιουργεί εμπιστοσύνη, αυξάνει το ενδιαφέρον και εμπλέκει το κοινό σας, ώστε να μπορεί να κατανοήσει και να μοιραστεί το όραμα και τους στόχους σας.»","""La narración genera confianza, aumenta el interés y capta la atención de tu audiencia para que pueda entender y compartir tu visión y objetivos."""
str_083,HUMAN Youth Leader Resource Kit,HUMAN kit Πόρων για ηγέτη των νέων ,Kit de Recursos para Líderes Juveniles HUMAN
str_084,Explore leadership concepts,Εξερευνήστε έννοιες ηγεσίας,Explora conceptos de liderazgo
str_085,What is Leadership?,Τι είναι η Ηγεσία;,¿Qué es el liderazgo?
str_086,Youth Leadership,Ηγεσία Νέων,Liderazgo Juvenil
str_087,How to Start,Πώς να ξεκινήσετε,Cómo empezar
str_088,"Leadership can be assumed by anyone. It is the process of guiding and influencing others, based on self-knowledge and self-confidence. Leadership is only successful with the support and consensus of those being led — it is as much about human relationships as it is about organisational duties.","Ηγεσία μπορεί να αναλάβει ο καθένας. Είναι η διαδικασία καθοδήγησης και επηρεασμού των άλλων, βασισμένη στην αυτογνωσία και την αυτοπεποίθηση. Η ηγεσία είναι επιτυχημένη μόνο με την υποστήριξη και τη συναίνεση όσων καθοδηγούνται — αφορά τόσο τις ανθρώπινες σχέσεις όσο και τα οργανωτικά καθήκοντα.","El liderazgo puede ser asumido por cualquiera. Es el proceso de guiar e influir en los demás, basado en el autoconocimiento y la confianza en uno mismo. El liderazgo solo tiene éxito con el apoyo y consenso de quienes son liderados: se trata tanto de las relaciones humanas como de las obligaciones organizativas."
str_089,Foundation,Θεμέλιο,Fundación
str_090,🔑 Self-knowledge & confidence,🔑 Αυτογνωσία και αυτοπεποίθηση,🔑 Autoconocimiento y confianza
str_091,Leadership is based on knowing yourself and trusting your own abilities,Η ηγεσία βασίζεται στην αυτογνωσία και στην εμπιστοσύνη στις ικανότητές σου,El liderazgo se basa en conocerse a uno mismo y confiar en sus propias capacidades
str_092,Condition,Κατάσταση,Estado
str_093,🤝 Support & consensus,🤝 Υποστήριξη και συναίνεση,🤝 Apoyo y consenso
str_094,Leadership only succeeds with the support and agreement of those being led,Η ηγεσία επιτυγχάνει μόνο με την υποστήριξη και τη συμφωνία όσων καθοδηγούνται,El liderazgo solo tiene éxito con el apoyo y el acuerdo de quienes están siendo liderados
str_095,Scope,Εκταση,Alcance
str_096,🌱 Human relations & community,🌱 Ανθρώπινες σχέσεις και κοινότητα,🌱 Relaciones humanas y comunidad
str_097,"Related to organisational duties, but also human development, peer encouragement and community involvement","Σχετίζεται με τα οργανωτικά καθήκοντα, αλλά και με την ανθρώπινη ανάπτυξη, την ενθάρρυνση από συνομηλίκους και τη συμμετοχή στην κοινότητα","Relacionado con las funciones organizativas, pero también con el desarrollo humano, el apoyo entre iguales y la implicación comunitaria"
str_098,"Youth leadership is a bilateral process: (1) discovering your own strengths, weaknesses and goals, while improving your individual capacities and self-confidence; and (2) developing skills to guide and inspire others, becoming an example. It means finding your voice, working in a team, managing projects, and inspiring others to act on issues like hate speech, discrimination, and exclusion.","Η ηγεσία των νέων είναι μια διμερής διαδικασία: (1) ανακαλύπτοντας τα δικά σας δυνατά και αδύνατα σημεία και στόχους, βελτιώνοντας παράλληλα τις ατομικές σας ικανότητες και την αυτοπεποίθησή σας· και (2) αναπτύσσοντας δεξιότητες για να καθοδηγείτε και να εμπνέετε τους άλλους, αποτελώντας παράδειγμα. Σημαίνει να βρίσκετε τη φωνή σας, να εργάζεστε σε μια ομάδα, να διαχειρίζεστε έργα και να εμπνέετε τους άλλους να αναλαμβάνουν δράση για ζητήματα όπως η ρητορική μίσους, οι διακρίσεις και ο αποκλεισμός.","El liderazgo juvenil es un proceso bilateral: (1) descubrir tus propias fortalezas, debilidades y objetivos, mientras mejoras tus capacidades individuales y tu autoestima; y (2) desarrollar habilidades para guiar e inspirar a otros, convirtiéndose en un ejemplo. Significa encontrar tu voz, trabajar en equipo, gestionar proyectos e inspirar a otros a actuar en temas como el discurso de odio, la discriminación y la exclusión."
str_099,— Explore real stories of young leaders already making a difference at,— Εξερευνήστε πραγματικές ιστορίες νέων ηγετών που ήδη κάνουν τη διαφορά στο,— Explora historias reales de jóvenes líderes que ya están marcando la diferencia en
str_100,"Hey, discover my story!","Γεια, ανακάλυψε την ιστορία μου!","¡Eh, descubre mi historia!"
str_101,humanactivists.eu,humanactivists.eu,humanactivists.eu
str_102,Are you ready to challenge yourself? Begin with a self-knowledge exercise based on the,Είστε έτοιμοι να αμφισβητήσετε τον εαυτό σας; Ξεκινήστε με μια άσκηση αυτογνωσίας βασισμένη στο,¿Estás listo para desafiarte a ti mismo? Comienza con un ejercicio de autoconocimiento basado en el
str_103,— a tool that helps you understand how you see yourself versus how others see you.,— ένα εργαλείο που σας βοηθά να κατανοήσετε πώς βλέπετε τον εαυτό σας σε σύγκριση με το πώς σας βλέπουν οι άλλοι.,— una herramienta que te ayuda a entender cómo te ves a ti mismo frente a cómo te ven los demás.
str_104,Johari Window Model,Johari Window Μοντέλο,Modelo de ventana Johari
str_105,Trust yourself,Εμπιστεύσου τον εαυτό σου,Confía en ti mismo
str_106,"The first pillar for inspiring others' confidence is your own mindset. If you don't believe in your idea's potential, no one else will.","Ο πρώτος πυλώνας για να εμπνεύσετε την αυτοπεποίθηση των άλλων είναι η δική σας νοοτροπία. Αν δεν πιστεύετε εσείς στις δυνατότητες της ιδέας σας, κανείς άλλος δεν θα το κάνει.","El primer pilar para inspirar la confianza de los demás es tu propia mentalidad. Si no crees en el potencial de tu idea, nadie más lo hará."
str_107,Develop your interest,Αναπτύξτε το ενδιαφέρον σας,Desarrolla tu interés
str_108,"Commitment grows when you value relationships, communicate effectively, and work together with others — even through conflicts.","Η δέσμευση μεγαλώνει όταν εκτιμάς τις σχέσεις, επικοινωνείς αποτελεσματικά και συνεργάζεσαι με τους άλλους — ακόμα και μέσα από συγκρούσεις.","El compromiso crece cuando valoras las relaciones, te comunicas eficazmente y trabajas en conjunto con los demás, incluso a través de los conflictos."
str_109,Create connections,Δημιουργήστε συνδέσεις,Crear conexiones
str_110,Talk to people in your community. Learn about their needs. Face-to-face interactions build genuine engagement; a strong online presence reaches more people.,Μιλήστε με άτομα στην κοινότητά σας. Μάθετε για τις ανάγκες τους. Οι προσωπικές αλληλεπιδράσεις δημιουργούν γνήσια αλληλεπίδραση. Μια ισχυρή διαδικτυακή παρουσία προσεγγίζει περισσότερους ανθρώπους.,Habla con la gente de tu comunidad. Infórmate sobre sus necesidades. Las interacciones cara a cara generan un compromiso genuino; Una fuerte presencia online llega a más personas.
str_111,Communicate effectively,Επικοινωνήστε αποτελεσματικά,Comunícate de forma efectiva
str_112,"Good communicators are also good listeners. Effective communication promotes trust, respect and collaboration — focus on your audience and build a story about your cause.","Οι καλοί επικοινωνιακοί είναι επίσης καλοί ακροατές. Η αποτελεσματική επικοινωνία προάγει την εμπιστοσύνη, τον σεβασμό και τη συνεργασία — επικεντρωθείτε στο κοινό σας και δημιουργήστε μια ιστορία για τον σκοπό σας.","Los buenos comunicadores también son buenos oyentes. Una comunicación efectiva fomenta la confianza, el respeto y la colaboración: céntrate en tu audiencia y construye una historia sobre tu causa."
str_113,Build your story,Χτίστε την ιστορία σας,Construye tu historia
str_114,"Storytelling creates trust and engages your audience so they can understand, share and join your vision. A powerful story moves people from observers to participants.","Η αφήγηση δημιουργεί εμπιστοσύνη και εμπλέκει το κοινό σας, ώστε να μπορεί να κατανοήσει, να μοιραστεί και να συμμετάσχει στο όραμά σας. Μια δυνατή ιστορία μετατρέπει τους ανθρώπους από παρατηρητές σε συμμετέχοντες.","La narración genera confianza y involucra a tu audiencia para que pueda entender, compartir y unirse a tu visión. Una historia poderosa conmueve a las personas, de observadores a participantes."
str_115,A Story of Youth Leadership,Μια ιστορία ηγεσίας νέων,Una historia de liderazgo juvenil
str_116,Fridays for,Παρασκευές για,Los viernes para
str_117,YOUng,YOUng,YOUng
str_118,"This is Mário's story — a real example of how a young person turned an idea into a movement, step by step.","Αυτή είναι η ιστορία του Mário — ένα πραγματικό παράδειγμα του πώς ένας νέος μετέτρεψε μια ιδέα σε κίνημα, βήμα προς βήμα.","Esta es la historia de Mário — un ejemplo real de cómo un joven convirtió una idea en un movimiento, paso a paso."
str_119,💡 The spark,💡 Η σπίθα,💡 La chispa
str_120,"Mário, 19, was motivated but didn't know where to start. He joined an online leadership training and began doing introspection exercises — discovering his values and strengths.","Ο Mário, 19 ετών, είχε κίνητρο, αλλά δεν ήξερε από πού να ξεκινήσει. Συμμετείχε σε μια διαδικτυακή εκπαίδευση ηγεσίας και άρχισε να κάνει ασκήσεις ενδοσκόπησης — ανακαλύπτοντας τις αξίες και τα δυνατά του σημεία.","Mário, de 19 años, estaba motivado pero no sabía por dónde empezar. Se unió a una formación online en liderazgo y comenzó a realizar ejercicios de introspección — descubriendo sus valores y fortalezas."
str_121,🌱 Building confidence,🌱 Χτίζοντας αυτοπεποίθηση,🌱 Construir confianza
str_122,"After training, he put his learning into practice. Day by day he felt more confident — and he started to want to involve others in what he was discovering.","Μετά την εκπαίδευση, εφάρμοσε όσα είχε μάθει στην πράξη. Μέρα με τη μέρα ένιωθε όλο και πιο σίγουρος για τον εαυτό του — και άρχισε να θέλει να εμπλέξει και άλλους σε ό,τι ανακάλυπτε.","Después del entrenamiento, puso en práctica sus aprendizajes. Día tras día se sentía más seguro — y empezó a querer involucrar a otros en lo que estaba descubriendo."
str_123,💬 The idea,💬 Η ιδέα,💬 La idea
str_124,Mário had an idea: a weekly meeting where peers from all backgrounds could gather and discuss their concerns freely — a space that didn't yet exist in his community.,Ο Μάριο είχε μια ιδέα: μια εβδομαδιαία συνάντηση όπου συνομήλικοί από όλα τα υπόβαθρα θα μπορούσαν να συγκεντρωθούν και να συζητήσουν ελεύθερα τις ανησυχίες τους — ένας χώρος που δεν υπήρχε ακόμη στην κοινότητά του.,Mário tuvo una idea: una reunión semanal donde compañeros de todos los orígenes pudieran reunirse y debatir libremente sus preocupaciones — un espacio que aún no existía en su comunidad.
str_125,🛠️ Building it,🛠️ Κατασκευάζοντας το,🛠️ Construyéndolo
